Games,Season,City,Year
1992 Summer,Summer,Barcelona,1992
2012 Summer,Summer,London,2012
1920 Summer,Summer,Antwerpen,1920
1900 Summer,Summer,Paris,1900
1988 Winter,Winter,Calgary,1988
1992 Winter,Winter,Albertville,1992
1994 Winter,Winter,Lillehammer,1994
1932 Summer,Summer,Los Angeles,1932
2002 Winter,Winter,Salt Lake City,2002
1952 Summer,Summer,Helsinki,1952
1980 Winter,Winter,Lake Placid,1980
2000 Summer,Summer,Sydney,2000
1996 Summer,Summer,Atlanta,1996
1912 Summer,Summer,Stockholm,1912
1924 Summer,Summer,Paris,1924
2014 Winter,Winter,Sochi,2014
1948 Summer,Summer,London,1948
1998 Winter,Winter,Nagano,1998
2006 Winter,Winter,Torino,2006
2008 Summer,Summer,Beijing,2008
2016 Summer,Summer,Rio de Janeiro,2016
2004 Summer,Summer,Athina,2004
1960 Winter,Winter,Squaw Valley,1960
1964 Winter,Winter,Innsbruck,1964
1984 Winter,Winter,Sarajevo,1984
1984 Summer,Summer,Los Angeles,1984
1968 Summer,Summer,Mexico City,1968
1972 Summer,Summer,Munich,1972
1988 Summer,Summer,Seoul,1988
1936 Summer,Summer,Berlin,1936
1952 Winter,Winter,Oslo,1952
1956 Winter,Winter,Cortina d'Ampezzo,1956
1956 Summer,Summer,Melbourne,1956
1960 Summer,Summer,Roma,1960
1928 Summer,Summer,Amsterdam,1928
1976 Summer,Summer,Montreal,1976
1980 Summer,Summer,Moskva,1980
1964 Summer,Summer,Tokyo,1964
2010 Winter,Winter,Vancouver,2010
1968 Winter,Winter,Grenoble,1968
1906 Summer,Summer,Athina,1906
1972 Winter,Winter,Sapporo,1972
1976 Winter,Winter,Innsbruck,1976
1924 Winter,Winter,Chamonix,1924
1904 Summer,Summer,St. Louis,1904
1928 Winter,Winter,Sankt Moritz,1928
1908 Summer,Summer,London,1908
1948 Winter,Winter,Sankt Moritz,1948
1932 Winter,Winter,Lake Placid,1932
1936 Winter,Winter,Garmisch-Partenkirchen,1936
1896 Summer,Summer,Athina,1896
